<>c__DisplayClass71_0.<CallbackDeliverer>b__0	RVA=0x000049EB	SIG=200102125c
<CallbackDeliverer>d__71.MoveNext	RVA=0x00004A00	SIG=200001
<CallbackDeliverer>d__71.SetStateMachine	RVA=0x00004BDC	SIG=200101128089
<DataReceived_Background_Handler>d__76.MoveNext	RVA=0x00004BEC	SIG=200001
<DataReceived_Background_Handler>d__76.SetStateMachine	RVA=0x0000514C	SIG=200101128089
<Execute_Lua_Programme>d__2.MoveNext	RVA=0x00006D58	SIG=200001
<GeneralRequest>d__100.MoveNext	RVA=0x0000631C	SIG=200001
<GeneralRequest>d__100.SetStateMachine	RVA=0x000063F4	SIG=200101128089
<GeneralRequest>d__101.MoveNext	RVA=0x00006404	SIG=200001
<GeneralRequest>d__101.SetStateMachine	RVA=0x000064D8	SIG=200101128089
<GeneralRequest>d__98.MoveNext	RVA=0x0000615C	SIG=200001
<GeneralRequest>d__98.SetStateMachine	RVA=0x0000622C	SIG=200101128089
<GeneralRequest>d__99.MoveNext	RVA=0x0000623C	SIG=200001
<GeneralRequest>d__99.SetStateMachine	RVA=0x0000630C	SIG=200101128089
<GeneralRequest_Base>d__97.MoveNext	RVA=0x00005E4C	SIG=200001
<GeneralRequest_Base>d__97.SetStateMachine	RVA=0x0000614C	SIG=200101128089
<GeneralRequestCallback>d__94.MoveNext	RVA=0x00005D64	SIG=200001
<GeneralRequestCallback>d__94.SetStateMachine	RVA=0x00005E3C	SIG=200101128089
<LoadConReporter_Setup>d__8.MoveNext	RVA=0x00006AF4	SIG=200001
<LoadConReporter_Setup>d__8.SetStateMachine	RVA=0x00006C0C	SIG=200101128089
<Lua_MOSI>d__5.MoveNext	RVA=0x00007284	SIG=200001
<LuaPutCharHandler_Setup>d__3.MoveNext	RVA=0x00007070	SIG=200001
<LuaPutCharHandler_Setup>d__3.SetStateMachine	RVA=0x00007174	SIG=200101128089
<LuaTerminateCommand>d__4.MoveNext	RVA=0x00007184	SIG=200001
<MeterDataReport_Setup>d__10.MoveNext	RVA=0x000073C0	SIG=200001
<MeterDataReport_Setup>d__10.SetStateMachine	RVA=0x000075E4	SIG=200101128089
GeneralRequestResult..ctor	RVA=0x000020E8	SIG=200001
LoadConInfoReport..ctor	RVA=0x000020E8	SIG=200001
LoadConReport_t..ctor	RVA=0x000020E8	SIG=200001
ShizukuLib.ShizukuProtocol.CallbackDeliverer	RVA=0x000032E0	SIG=2000128081
ShizukuLib.ShizukuProtocol.DataReceived_Background_Handler	RVA=0x00003324	SIG=200001
ShizukuLib.ShizukuProtocol.DataReceivedHandler	RVA=0x0000335B	SIG=2002011c1280e5
ShizukuLib.ShizukuProtocol.GeneralRequest	RVA=0x000037C8	SIG=2003151280e90112700e11781d09
ShizukuLib.ShizukuProtocol.GeneralRequest	RVA=0x00003824	SIG=2004151280e90112700e11781d0908
ShizukuLib.ShizukuProtocol.GeneralRequest	RVA=0x00003888	SIG=2005151280e90112700e11781d0908128170
ShizukuLib.ShizukuProtocol.GeneralRequest	RVA=0x000038F8	SIG=2004151280e90112700e11781d09128170
ShizukuLib.ShizukuProtocol.GeneralRequest_Base	RVA=0x00003750	SIG=2006151280e90112700e11781d09116c08128170
ShizukuLib.ShizukuProtocol.GeneralRequestCallback	RVA=0x00003710	SIG=2001011d05
ShizukuLib.ShizukuProtocolLoadCon.LoadConReporter_Setup	RVA=0x00003CA0	SIG=2002151280e9010812817002
ShizukuLib.ShizukuProtocolLua.LuaPutCharHandler_Setup	RVA=0x00003D94	SIG=2001151280e90108128170
ShizukuLib.ShizukuProtocolMeterData.MeterDataReport_Setup	RVA=0x00003FA8	SIG=20031280810912817002
ShizukuLib.ShizukuProtocolMeterData.ReportMeterDataRequestReplyCallback	RVA=0x00003F6D	SIG=2001011d05
